Rank,Team,Score,Buchholz,MapDiff,H2H Score,H2H MapDiff,Cumulative,Seed
1,中国传媒大学,7.0,30.0,19,0,0,28.0,3
2,南京邮电大学,6.0,30.0,14,0,0,21.0,8
3,北京城市学院,6.0,28.0,12,0,0,22.0,1
4,广东工业大学,5.0,33.0,8,0,0,22.0,53
5,四川大学,5.0,33.0,6,0,0,25.0,6
6,西北工业大学,5.0,33.0,4,0,0,19.0,42
7,杭州电子科技大学,5.0,32.0,9,0,0,24.0,48
8,北京理工大学,5.0,32.0,6,0,0,21.0,7
9,上海交通大学一队,5.0,31.0,8,0,0,23.0,5
10,华东理工大学,5.0,29.0,7,0,0,19.0,47
11,中国地质大学（武汉）,5.0,29.0,5,0,0,23.0,39
12,上海第二工业大学,5.0,27.0,9,0,0,20.0,29
13,中国民用航空飞行学院一队,5.0,25.0,8,0,0,18.0,17
14,电子科技大学二队,5.0,25.0,7,0,0,18.0,45
15,山东大学,4.0,33.0,3,0,0,19.0,25
16,武汉理工大学,4.0,29.0,4,0,0,17.0,15
17,华南理工大学,4.0,29.0,-1,0,0,20.0,10
18,中国海洋大学,4.0,28.0,7,0,0,16.0,46
19,南京林业大学,4.0,28.0,6,0,0,20.0,59
20,浙江大学,4.0,28.0,5,0,0,18.0,9
21,电子科技大学一队,4.0,28.0,0,0,0,19.0,12
22,桂林电子科技大学,4.0,27.0,2,0,0,14.0,60
23,浙江水利水电学院,4.0,26.0,2,0,0,16.0,55
24,华中科技大学,4.0,25.0,5,0,0,17.0,4
25,长安大学一队,4.0,25.0,5,0,0,15.0,40
26,武汉大学,4.0,24.0,6,0,0,15.0,22
27,同济大学一队,4.0,24.0,4,0,0,13.0,16
28,西南大学,4.0,24.0,3,0,0,10.0,14
29,同济大学二队,4.0,22.0,0,0,0,14.0,36
30,华东师范大学一队,4.0,21.0,5,0,0,16.0,23
31,吉林大学,3.0,28.0,-6,0,0,18.0,35
32,安徽大学,3.0,27.0,-5,0,0,15.0,43
33,广东财经大学,3.0,25.0,-2,0,0,14.0,41
34,厦门大学,3.0,25.0,-2,0,0,10.0,57
35,清华大学,3.0,24.0,-1,0,0,13.0,13
36,南开大学,3.0,24.0,-3,0,0,12.0,19
37,北京航空航天大学,3.0,24.0,-6,0,0,13.0,24
38,电子科技大学三队,3.0,23.0,-5,0,0,11.0,54
39,中山大学,3.0,22.0,-4,0,0,12.0,38
40,华东师范大学二队,3.0,21.0,0,0,0,11.0,33
41,西安电子科技大学,3.0,21.0,-1,0,0,11.0,49
42,兰州大学,3.0,21.0,-2,0,0,12.0,51
43,北京科技大学,3.0,19.0,0,0,0,11.0,26
44,重庆大学,3.0,18.0,0,0,0,8.0,11
45,西南财经大学,3.0,18.0,-1,0,0,9.0,37
46,华中农业大学,3.0,15.0,-2,0,0,6.0,21
47,安徽师范大学,2.0,26.0,-9,0,0,10.0,44
48,北京工商大学,2.0,23.0,-7,0,0,7.0,20
49,电子科技大学四队,2.0,22.0,-8,0,0,8.0,58
50,北京大学,2.0,22.0,-8,0,0,5.0,52
51,西交利物浦大学,2.0,22.0,-9,0,0,8.0,18
52,北京信息科技大学,2.0,20.0,-7,0,0,10.0,50
53,上海大学,2.0,19.0,-8,0,0,8.0,28
54,阜阳师范大学,2.0,19.0,-9,0,0,7.0,32
55,上海交通大学二队,2.0,18.0,-7,0,0,10.0,34
56,大连理工大学,2.0,18.0,-10,0,0,6.0,2
57,长安大学二队,2.0,15.0,-7,0,0,3.0,56
58,南京师范大学,1.0,18.0,-15,0,0,7.0,30
59,中国民用航空飞行学院二队,1.0,16.0,-15,0,0,3.0,31
60,中央财经大学,0.0,19.0,-19,0,0,0.0,27
