Rank,Team,Score,Buchholz,MapDiff,H2H Score,H2H MapDiff,Cumulative,Seed
1,四川大学,4.0,11.0,11,0,0,10.0,6
2,中国传媒大学,4.0,10.0,12,0,0,10.0,3
3,杭州电子科技大学,4.0,10.0,10,0,0,10.0,48
4,中国地质大学（武汉）,4.0,9.0,8,0,0,10.0,39
5,山东大学,3.0,11.0,5,0,0,9.0,25
6,广东工业大学,3.0,10.0,7,0,0,8.0,53
7,北京理工大学,3.0,10.0,5,0,0,8.0,7
8,西北工业大学,3.0,10.0,2,0,0,7.0,42
9,浙江大学,3.0,9.0,7,0,0,7.0,9
10,南京林业大学,3.0,9.0,6,0,0,8.0,59
11,上海交通大学一队,3.0,9.0,5,0,0,9.0,5
12,电子科技大学一队,3.0,9.0,4,0,0,9.0,12
13,浙江水利水电学院,3.0,9.0,4,0,0,6.0,55
14,吉林大学,3.0,9.0,3,0,0,9.0,35
15,华南理工大学,3.0,9.0,3,0,0,8.0,10
16,北京城市学院,3.0,8.0,7,0,0,7.0,1
17,上海第二工业大学,3.0,8.0,6,0,0,8.0,29
18,武汉理工大学,3.0,8.0,6,0,0,6.0,15
19,南京邮电大学,3.0,7.0,5,0,0,6.0,8
20,中国海洋大学,2.0,10.0,3,0,0,6.0,46
21,中国民用航空飞行学院一队,2.0,10.0,1,0,0,6.0,17
22,华东理工大学,2.0,10.0,0,0,0,7.0,47
23,安徽大学,2.0,10.0,-1,0,0,6.0,43
24,武汉大学,2.0,9.0,3,0,0,5.0,22
25,华东师范大学一队,2.0,9.0,1,0,0,7.0,23
26,清华大学,2.0,9.0,1,0,0,5.0,13
27,电子科技大学二队,2.0,9.0,-1,0,0,6.0,45
28,北京航空航天大学,2.0,9.0,-1,0,0,5.0,24
29,华中科技大学,2.0,8.0,0,0,0,6.0,4
30,广东财经大学,2.0,8.0,-1,0,0,5.0,41
31,南开大学,2.0,8.0,-1,0,0,4.0,19
32,兰州大学,2.0,8.0,-2,0,0,5.0,51
33,中山大学,2.0,7.0,-1,0,0,5.0,38
34,桂林电子科技大学,2.0,7.0,-1,0,0,4.0,60
35,安徽师范大学,2.0,7.0,-2,0,0,4.0,44
36,同济大学二队,2.0,7.0,-2,0,0,3.0,36
37,长安大学一队,2.0,6.0,2,0,0,5.0,40
38,同济大学一队,2.0,6.0,2,0,0,4.0,16
39,北京科技大学,2.0,6.0,2,0,0,3.0,26
40,西安电子科技大学,2.0,6.0,0,0,0,4.0,49
41,电子科技大学三队,2.0,6.0,-2,0,0,3.0,54
42,华东师范大学二队,1.0,10.0,-2,0,0,4.0,33
43,厦门大学,1.0,8.0,-4,0,0,2.0,57
44,电子科技大学四队,1.0,8.0,-5,0,0,2.0,58
45,北京工商大学,1.0,8.0,-6,0,0,3.0,20
46,西南大学,1.0,7.0,-3,0,0,1.0,14
47,上海交通大学二队,1.0,7.0,-5,0,0,4.0,34
48,西交利物浦大学,1.0,7.0,-5,0,0,2.0,18
49,南京师范大学,1.0,7.0,-6,0,0,4.0,30
50,北京信息科技大学,1.0,7.0,-6,0,0,4.0,50
51,上海大学,1.0,7.0,-7,0,0,3.0,28
52,阜阳师范大学,1.0,7.0,-7,0,0,3.0,32
53,北京大学,1.0,7.0,-7,0,0,1.0,52
54,西南财经大学,1.0,6.0,-4,0,0,1.0,37
55,大连理工大学,1.0,6.0,-6,0,0,1.0,2
56,重庆大学,1.0,5.0,-3,0,0,2.0,11
57,长安大学二队,0.0,7.0,-11,0,0,0.0,56
58,中央财经大学,0.0,6.0,-10,0,0,0.0,27
59,华中农业大学,0.0,5.0,-8,0,0,0.0,21
60,中国民用航空飞行学院二队,0.0,5.0,-11,0,0,0.0,31
